epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2938.48,1.28069,0.94173,1.25059,0.78241,0.69923,0.77927,0.4758,1.31765,0.79344,1.25172,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,3018.96,1.27152,0.92924,1.24053,0.78113,0.69133,0.76565,0.47941,1.28137,0.80163,1.23631,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,3101.51,1.2772,0.93919,1.23665,0.8047,0.70743,0.77918,0.48606,1.27455,0.79749,1.23627,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,3185.17,1.27388,0.93509,1.23996,0.75924,0.71899,0.76959,0.47607,1.30768,0.79443,1.24857,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,3269.21,1.25968,0.91961,1.24063,0.80177,0.69186,0.77704,0.47981,1.28952,0.78871,1.23541,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,3353.63,1.25543,0.90923,1.22615,0.7821,0.70501,0.77125,0.47943,1.28796,0.78457,1.22939,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,3435.18,1.26317,0.91663,1.2336,0.80228,0.69449,0.78273,0.48866,1.27371,0.77028,1.22328,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,3515.85,1.26257,0.91485,1.22599,0.7937,0.70319,0.78322,0.48842,1.26932,0.7763,1.21852,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,3595.79,1.24053,0.90625,1.22141,0.80748,0.70144,0.78155,0.4924,1.25751,0.77946,1.21736,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,3682.64,1.25113,0.89919,1.22077,0.7892,0.69401,0.78174,0.48407,1.27644,0.77435,1.22257,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,3799.57,1.24384,0.89044,1.22113,0.78751,0.70042,0.77648,0.48765,1.27082,0.7681,1.22126,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,3953.73,1.23567,0.87751,1.21911,0.81971,0.70166,0.78683,0.49006,1.26205,0.77079,1.21552,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,4112.68,1.23481,0.88871,1.22403,0.80271,0.70353,0.78385,0.49229,1.26041,0.76278,1.21955,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,4231.96,1.22575,0.87207,1.21588,0.79209,0.71613,0.78077,0.4893,1.26292,0.77334,1.22055,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,4309.46,1.23239,0.87751,1.2147,0.7936,0.70197,0.7855,0.49091,1.26818,0.76384,1.21629,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,4388.02,1.23202,0.8656,1.20508,0.77928,0.70786,0.77932,0.48815,1.25813,0.75868,1.21271,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,4466.63,1.21963,0.85991,1.20606,0.82087,0.72404,0.79547,0.49912,1.25709,0.73983,1.21465,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,4547.3,1.22775,0.86129,1.20297,0.80862,0.70201,0.78147,0.49499,1.24104,0.75781,1.20821,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,4629.82,1.19968,0.84104,1.20418,0.81964,0.70111,0.78562,0.49402,1.2481,0.75402,1.20836,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,4712.91,1.20291,0.84264,1.19046,0.80773,0.73419,0.79315,0.50305,1.22525,0.75163,1.1956,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,4795.07,1.19142,0.83425,1.19523,0.81817,0.72893,0.79507,0.49623,1.24406,0.75175,1.20402,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,4872.39,1.20724,0.84798,1.19339,0.81438,0.7175,0.79623,0.5016,1.23789,0.74064,1.19921,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4948.73,1.20253,0.83678,1.19497,0.80784,0.73545,0.79716,0.50209,1.24067,0.73702,1.20147,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,5025.23,1.20038,0.83859,1.1965,0.80846,0.72884,0.7957,0.50336,1.22622,0.73148,1.19416,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,5107.31,1.19682,0.82657,1.1901,0.80226,0.73009,0.79493,0.50067,1.26922,0.73173,1.21611,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,5188.39,1.17854,0.81751,1.18331,0.80041,0.72582,0.79614,0.5044,1.23616,0.73055,1.19773,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,5270.66,1.18783,0.80693,1.18264,0.79393,0.72825,0.79333,0.50178,1.23825,0.7335,1.19927,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,5351.8,1.17785,0.81158,1.17841,0.81633,0.7229,0.79842,0.50806,1.22719,0.72887,1.19216,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,5428.93,1.17395,0.80037,1.18089,0.80922,0.71849,0.79312,0.50362,1.23245,0.73082,1.19853,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,5510.86,1.17607,0.80517,1.17511,0.79763,0.72696,0.79705,0.50235,1.23164,0.72882,1.19649,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,5640.19,1.16231,0.79317,1.17605,0.81462,0.72705,0.79712,0.50807,1.22847,0.72157,1.1934,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,5790.55,1.17353,0.79755,1.17904,0.8127,0.72356,0.79525,0.50492,1.23062,0.72686,1.19276,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,5920.13,1.17315,0.79443,1.17368,0.8062,0.7179,0.7955,0.50678,1.22244,0.72259,1.1899,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,5997.42,1.1706,0.78869,1.16758,0.80046,0.72587,0.79434,0.50712,1.22133,0.72936,1.18862,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,6085,1.15435,0.77609,1.16918,0.80582,0.72036,0.79629,0.50617,1.22314,0.73112,1.19162,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,6235.95,1.14966,0.77043,1.16388,0.82003,0.72521,0.80052,0.51005,1.22363,0.73287,1.19316,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,6386.53,1.15937,0.77303,1.16073,0.81253,0.7238,0.79989,0.50826,1.22392,0.71963,1.19006,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,6542.8,1.15747,0.76865,1.1654,0.82786,0.7278,0.8023,0.51033,1.23036,0.71876,1.19339,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,6668.53,1.1478,0.76732,1.15884,0.82233,0.72585,0.80317,0.51101,1.22177,0.72076,1.18732,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,6815.63,1.13184,0.75697,1.15365,0.82544,0.71991,0.79652,0.50957,1.21918,0.72559,1.18623,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,6959.47,1.13829,0.75219,1.15777,0.81604,0.72491,0.80276,0.51086,1.22908,0.72331,1.18883,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,7103.28,1.12702,0.74556,1.15252,0.83409,0.71398,0.79848,0.5073,1.22473,0.72471,1.18867,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,7251.16,1.13202,0.73316,1.15039,0.81642,0.73089,0.80335,0.50961,1.22366,0.72278,1.18662,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,7328.83,1.11952,0.73779,1.14683,0.82588,0.72262,0.79948,0.50623,1.23039,0.72539,1.19182,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,7406.04,1.12965,0.73975,1.1474,0.81803,0.73122,0.79883,0.50647,1.22633,0.72487,1.19192,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,7544.5,1.11725,0.72724,1.14355,0.81343,0.72664,0.79703,0.50459,1.22845,0.72798,1.19191,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,7662.18,1.13029,0.73308,1.14478,0.82236,0.71841,0.7943,0.50425,1.22287,0.73197,1.19047,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,7738.95,1.11326,0.72071,1.14416,0.82236,0.72638,0.79901,0.50755,1.21952,0.72402,1.18718,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,7816.37,1.10977,0.71307,1.1344,0.80809,0.73742,0.79931,0.50856,1.21925,0.7223,1.18764,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,7898.09,1.10408,0.71305,1.14381,0.81166,0.73437,0.79855,0.50703,1.22277,0.71862,1.19251,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,7981.46,1.11066,0.71656,1.13689,0.81087,0.72967,0.79612,0.50512,1.22296,0.72788,1.18913,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,8069.2,1.10382,0.70502,1.13631,0.80981,0.72966,0.79571,0.50452,1.22469,0.7326,1.19124,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,8152.97,1.10276,0.70791,1.13536,0.81319,0.72601,0.79709,0.50574,1.22318,0.73232,1.19046,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,8237.64,1.09859,0.7011,1.13702,0.81271,0.73169,0.79929,0.50633,1.22643,0.73065,1.19166,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
